player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Gabriel Magalhães,Arsenal,D,1,20.0,180,63,46.32352941,512,747,1259,88.72445384,87,66.92307692,43,25,4,46,5,3,6,13,149,2,4,62,1,2,1.73381605,1.8798,14,0,16.66666667,3,7,15,10,5,3,0,,60,75.94936709,1,0,1,160,18,6,2,24,2166,0,0,0,0,0,0.0,0,0,0,0,181,2,0,7.368,0,0,0,0,0,0,0,722.0,0.0,0,14,4,7,5,1,50.0,32,16,50.0,6,2,5,147,70.33492823,136,622,797,1419,18,5,1747,27,3
William Saliba,Arsenal,D,4,44.44444444,221,44,48.35164835,589,1034,1623,92.68989149,60,54.05405405,51,25,0,96,0,2,1,11,102,6,6,83,0,2,0.90453671,0.8575,17,0,20.0,1,1,16,11,5,1,0,,48,60.0,1,0,0,128,14,7,0,24,2075,1,0,0,0,0,0.0,0,0,0,0,156,2,0,6.991666667,0,0,0,0,0,0,0,2075.0,0.0,0,5,0,3,1,4,57.14285714,29,17,58.62068966,7,7,9,108,56.54450262,91,674,1077,1751,5,0,1990,15,1
Piero Hincapié,Arsenal,D,4,14.28571429,146,20,35.71428571,324,338,662,89.21832884,30,51.72413793,28,21,2,55,2,0,1,3,75,4,11,62,0,0,1.34832156,0.3286,16,0,50.0,1,3,16,12,4,1,0,,55,61.79775281,0,0,0,80,20,12,1,17,1504,0,1,0,0,0,0.0,0,0,0,0,146,3,0,6.919047619,0,0,0,0,0,0,0,1504.0,0.0,0,1,1,0,1,5,45.45454545,39,21,53.84615385,12,11,28,85,57.82312925,56,378,364,742,2,1,1091,12,2
Cristhian Mosquera,Arsenal,D,0,0.0,62,6,37.5,151,254,405,91.21621622,11,37.93103448,18,14,0,23,0,0,0,1,32,0,3,30,0,1,0.49156338,,8,0,0.0,0,0,5,4,1,0,0,,26,68.42105263,0,0,0,39,8,3,0,6,678,1,0,0,0,0,0.0,0,0,0,0,49,0,0,6.916666667,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,23,15,65.2173913,3,1,0,37,55.2238806,16,169,275,444,0,0,546,3,2
Jurriën Timber,Arsenal,D,6,13.04347826,344,20,38.46153846,573,352,925,85.25345622,40,66.66666667,20,30,5,97,4,7,3,11,53,25,9,110,0,1,1.60875528,4.7029,38,0,12.0,3,8,20,14,6,3,0,,107,54.31472081,2,0,0,160,24,27,0,28,2457,0,0,0,0,0,0.0,0,0,0,1,302,7,0,6.913333333,0,1,0,0,0,0,0,819.0,0.0,0,24,1,15,7,13,39.39393939,66,37,56.06060606,27,33,46,147,57.19844358,52,695,390,1085,25,1,1656,29,5
Ben White,Arsenal,D,2,15.38461538,75,6,35.29411765,109,61,170,82.92682927,9,42.85714286,12,7,1,18,2,0,0,2,17,1,5,24,0,0,0.48011543,0.436,5,0,0.0,0,1,4,3,1,0,0,,19,61.29032258,0,0,0,35,3,6,0,5,420,2,0,0,0,0,0.0,0,0,0,0,59,2,0,6.857142857,0,0,0,0,0,0,0,0.0,0.0,0,3,1,3,1,2,66.66666667,13,7,53.84615385,6,3,13,28,53.84615385,17,140,65,205,4,0,326,4,0
Riccardo Calafiori,Arsenal,D,3,14.28571429,161,18,50.0,292,265,557,85.42944785,40,58.82352941,28,22,2,64,0,1,9,3,48,7,8,72,0,1,0.48692635,2.8955,25,0,3.571428571,1,3,8,6,2,1,0,,52,54.16666667,1,0,1,95,14,5,0,18,1455,2,0,0,0,0,0.0,0,0,0,0,175,4,0,6.852380952,0,0,0,0,0,0,0,1455.0,0.0,0,19,9,13,6,13,72.22222222,31,18,58.06451613,5,18,21,92,56.09756098,36,347,305,652,28,1,1010,9,5
Myles Lewis-Skelly,Arsenal,D,0,0.0,32,4,50.0,63,85,148,88.62275449,1,12.5,7,14,0,14,0,0,0,0,8,4,2,20,0,1,0.06480379,0.0516,6,0,0.0,0,0,5,5,0,0,0,,15,53.57142857,0,0,0,19,2,3,0,1,336,0,0,0,0,0,0.0,0,0,0,0,33,0,0,6.55,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,5,83.33333333,4,3,75.0,3,6,0,16,44.44444444,8,75,92,167,1,0,233,6,3
Marc Guéhi,Manchester City,D,3,23.07692308,245,63,39.87341772,658,863,1521,88.32752613,82,68.90756303,37,28,2,118,5,6,7,10,137,13,10,81,1,0,2.03411124,3.5818,18,0,7.407407407,2,4,30,23,7,2,0,,67,60.36036036,1,0,2,201,39,14,0,28,2520,0,0,0,0,0,0.0,0,0,0,1,247,4,0,7.275,0,1,0,0,0,0,0,1260.0,0.0,0,26,1,13,7,5,55.55555556,37,24,64.86486486,14,9,13,149,64.7826087,158,799,923,1722,27,4,2116,25,5
Rúben Dias,Manchester City,D,3,33.33333333,229,47,50.0,722,848,1570,93.00947867,58,65.16853933,31,25,0,70,0,1,3,11,115,3,2,53,0,2,0.62277125,0.5644,14,0,20.0,2,2,20,14,6,1,1,,24,52.17391304,0,0,0,118,22,6,0,23,2059,0,0,0,0,0,0.0,0,0,0,0,134,2,0,7.2,0,2,0,0,0,0,0,1029.5,0.0,0,6,4,3,4,3,50.0,13,6,46.15384615,6,6,9,82,60.74074074,94,797,891,1688,10,3,1945,9,3
Max Alleyne,Manchester City,D,0,0.0,13,8,80.0,57,63,120,93.75,3,100.0,0,2,0,4,0,1,0,0,4,1,0,2,0,0,0.0644063,0.259,0,0,0.0,0,0,1,0,1,0,0,,6,75.0,0,0,0,8,4,1,0,2,135,0,0,0,0,0,0.0,0,0,0,0,11,0,0,7.1,0,0,0,0,0,0,0,0.0,0.0,0,2,0,1,1,3,75.0,3,3,100.0,1,4,0,9,81.81818182,10,63,65,128,2,0,148,0,0
Joko Gvardiol,Manchester City,D,1,50.0,190,38,49.35064935,465,429,894,89.66900702,26,56.52173913,20,16,2,49,1,2,4,5,60,3,1,43,0,2,0.65621188,2.3419,16,0,12.5,2,4,13,10,3,2,0,,27,54.0,1,0,1,103,13,5,0,15,1304,0,0,1,0,1,0.0,0,0,0,0,124,0,0,7.01875,0,1,0,0,0,0,0,652.0,0.0,0,13,3,7,5,2,33.33333333,18,13,72.22222222,4,6,2,53,55.20833333,77,529,468,997,16,1,1188,7,2
Matheus Nunes,Manchester City,D,15,28.84615385,460,47,51.08695652,907,615,1522,88.95382817,30,56.60377358,23,27,4,134,5,0,1,9,82,14,17,86,1,1,1.84067552,0.3479,13,0,14.28571429,1,5,23,16,7,1,0,,96,60.37735849,0,0,0,189,25,20,0,25,2267,4,0,0,0,1,0.0,0,0,0,1,322,6,0,6.937037037,0,1,0,0,0,0,0,2267.0,0.0,0,2,5,4,2,23,52.27272727,48,34,70.83333333,20,44,52,126,59.43396226,92,1025,686,1711,7,1,2295,25,4
Abdukodir Khusanov,Manchester City,D,0,0.0,80,26,52.0,259,318,577,91.29746835,6,33.33333333,12,15,0,46,0,0,0,2,36,2,3,27,0,0,0.14818702,0.4662,8,0,0.0,0,0,8,7,1,0,0,,30,66.66666667,0,0,0,55,21,2,0,9,889,0,0,0,0,0,0.0,0,0,0,0,75,1,0,6.86,0,0,0,0,0,0,0,0.0,0.0,0,2,0,2,0,4,66.66666667,21,15,71.42857143,2,6,0,36,57.14285714,50,290,342,632,2,0,783,5,2
Nico O'Reilly,Manchester City,D,9,28.125,247,10,24.3902439,564,365,929,86.57968313,38,54.28571429,32,28,3,83,5,5,9,8,56,27,20,141,0,1,1.72633751,4.0359,33,0,12.90322581,4,7,20,16,4,4,0,,94,46.30541872,1,0,0,144,17,18,3,23,2134,1,0,0,0,0,0.0,0,0,0,0,295,6,0,6.835714286,0,0,0,0,0,0,0,533.5,0.0,0,24,7,12,10,20,40.81632653,61,32,52.45901639,18,49,32,132,48.35164835,41,658,415,1073,31,2,1654,13,4
Nathan Aké,Manchester City,D,3,75.0,80,5,26.31578947,165,169,334,89.30481283,13,68.42105263,6,14,0,12,2,1,1,2,25,0,2,11,0,1,0.44223924,0.2759,2,0,0.0,0,0,7,6,1,0,0,,14,73.68421053,0,0,0,40,4,6,0,4,503,1,0,0,0,0,0.0,0,0,0,0,51,1,0,6.809090909,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,0,0,0.0,8,5,62.5,6,1,4,27,71.05263158,19,191,183,374,3,1,461,6,1
Rico Lewis,Manchester City,D,0,0.0,62,8,61.53846154,114,89,203,86.75213675,1,50.0,1,10,1,10,2,0,0,0,6,5,3,15,0,0,1.31145706,0.1119,4,0,0.0,0,1,5,5,0,0,0,,14,50.0,0,0,0,31,7,6,0,3,333,0,0,0,0,0,0.0,0,0,0,0,46,3,0,6.733333333,0,0,0,0,0,0,0,0.0,0.0,0,1,1,2,0,2,50.0,5,3,60.0,6,4,2,15,50.0,13,142,92,234,2,0,319,7,1
John Stones,Manchester City,D,0,0.0,22,5,50.0,91,149,240,92.66409266,9,90.0,1,7,0,17,0,0,0,0,14,1,2,4,0,0,0.06005487,,0,0,0.0,0,0,8,7,1,0,0,,2,40.0,0,0,0,19,2,1,0,4,363,0,0,0,0,0,0.0,0,0,0,0,27,1,0,6.566666667,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,100.0,0,0,0.0,1,2,4,11,73.33333333,10,103,156,259,0,0,296,0,0
Lisandro Martínez,Manchester United,D,1,50.0,92,29,41.42857143,298,340,638,90.24045262,10,71.42857143,4,14,0,52,1,0,2,2,46,2,2,18,0,0,0.50183514,0.065,8,0,0.0,0,0,11,10,1,0,0,,25,64.1025641,0,0,0,69,10,4,0,9,911,0,1,0,0,0,0.0,0,0,0,0,81,1,0,7.071428571,0,0,0,0,0,0,0,0.0,0.0,0,0,4,2,0,11,84.61538462,12,7,58.33333333,4,13,2,35,66.03773585,70,354,353,707,4,1,833,2,0
Matthijs de Ligt,Manchester United,D,4,80.0,35,21,47.72727273,141,396,537,87.74509804,50,61.72839506,31,13,0,40,2,1,3,1,68,1,6,44,0,1,0.76599626,1.4559,6,0,9.090909091,1,1,20,18,2,1,0,,24,64.86486486,1,0,0,75,15,3,0,13,1170,0,0,0,0,0,0.0,0,0,0,0,89,1,0,6.953846154,0,0,0,0,0,0,0,1170.0,0.0,0,11,0,5,3,1,50.0,19,13,68.42105263,3,2,5,74,62.71186441,44,187,425,612,11,1,791,5,0
Noussair Mazraoui,Manchester United,D,4,33.33333333,106,16,55.17241379,194,127,321,88.18681319,12,52.17391304,11,15,0,30,0,0,3,0,35,1,2,28,0,2,0.29045344,0.1733,8,0,0.0,0,0,7,6,1,0,0,,31,64.58333333,0,0,0,43,8,3,0,7,653,0,0,1,0,0,0.0,0,0,0,0,69,2,0,6.88,0,0,0,0,0,0,0,0.0,0.0,0,1,3,1,0,6,50.0,16,9,56.25,2,12,12,43,60.56338028,29,221,143,364,4,0,540,9,3
Harry Maguire,Manchester United,D,1,50.0,47,28,37.33333333,196,359,555,86.44859813,47,78.33333333,13,18,1,45,1,1,2,3,71,2,2,30,1,0,0.21427547,0.8107,13,0,10.0,1,2,14,13,1,1,0,,26,60.46511628,1,0,1,87,9,2,0,14,1217,0,0,0,0,2,0.0,0,0,0,0,93,2,0,6.8,1,0,0,0,0,0,0,1217.0,0.0,0,10,0,6,2,0,0.0,12,9,75.0,2,1,2,73,70.87378641,75,257,385,642,10,0,789,14,3
Ayden Heaven,Manchester United,D,0,0.0,26,12,60.0,88,245,333,90.73569482,17,62.96296296,10,14,1,33,1,1,1,1,52,1,4,21,0,0,0.16843562,0.3454,5,0,0.0,0,1,12,10,2,0,0,,24,68.57142857,0,0,0,34,1,2,0,8,668,0,1,0,0,0,0.0,0,0,0,0,39,1,0,6.8,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,0,3,75.0,16,9,56.25,2,4,1,41,66.12903226,20,111,256,367,3,0,471,5,2
Luke Shaw,Manchester United,D,6,13.33333333,266,48,47.52475248,613,667,1280,86.8385346,52,52.0,48,31,1,88,1,0,3,3,70,5,14,114,0,1,1.49265982,0.5033,38,0,0.0,0,1,39,37,2,0,0,,77,53.84615385,0,0,0,194,33,15,0,31,2626,0,0,0,0,0,0.0,0,0,0,0,295,4,0,6.622580645,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,2,6,40.0,60,35,58.33333333,15,15,45,129,53.08641975,101,727,747,1474,5,0,1945,11,5
Leny Yoro,Manchester United,D,1,33.33333333,127,35,49.29577465,322,488,810,88.52459016,38,54.28571429,32,28,0,65,0,2,1,1,74,5,7,61,0,2,0.44335457,1.1364,16,0,0.0,0,0,30,27,3,0,0,,35,54.6875,0,0,0,105,25,3,0,17,1624,2,0,0,0,1,0.0,0,0,0,0,131,2,0,6.618518519,0,0,0,0,0,0,0,0.0,0.0,0,7,0,4,2,1,50.0,31,20,64.51612903,3,2,3,73,54.47761194,71,383,532,915,7,0,1135,3,1
Tyler Fredricson,Manchester United,D,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,,,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0,0,0,0,0,1,0,0,6.6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,1,1,0,1,0,0,3,0,0
Tyrell Malacia,Manchester United,D,0,0.0,1,0,0.0,3,2,5,71.42857143,0,0.0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0.0011053,,0,0,0.0,0,0,1,1,0,0,0,,1,100.0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0.0,0,0,0,0,2,0,0,6.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0.0,0,0,0,1,100.0,2,5,2,7,0,0,12,0,0
Ezri Konsa,Aston Villa,D,1,20.0,166,51,57.30337079,593,1147,1740,95.13395298,29,58.0,21,30,0,90,1,1,4,8,107,5,4,45,1,1,0.55244841,1.2416,11,0,0.0,0,0,36,32,4,0,0,,57,70.37037037,0,0,1,89,23,5,0,30,2676,0,0,0,0,0,0.0,0,0,0,0,117,3,0,7.006666667,1,0,0,0,0,0,0,0.0,0.0,0,11,0,5,2,7,63.63636364,20,7,35.0,5,11,5,86,65.64885496,89,650,1179,1829,11,0,2134,32,0
Matty Cash,Aston Villa,D,23,21.9047619,272,47,41.22807018,515,457,972,85.3380158,28,56.0,22,28,2,74,4,0,7,8,75,13,25,104,1,1,2.69045206,1.1357,37,0,11.11111111,3,5,27,25,2,1,2,,85,50.89820359,0,0,1,167,18,24,1,28,2446,3,0,0,0,0,0.0,0,0,0,0,351,3,0,6.935714286,0,2,0,0,0,0,0,815.3333333,0.0,0,9,18,11,9,11,61.11111111,51,23,45.09803922,24,18,105,113,52.07373272,114,629,510,1139,27,3,1773,25,7
Pau Torres,Aston Villa,D,0,0.0,121,40,40.81632653,334,517,851,88.92371996,22,57.89473684,16,17,0,71,0,0,1,4,55,3,9,36,2,2,0.34413894,0.5686,4,0,0.0,0,0,15,14,1,0,0,,29,59.18367347,0,0,0,106,11,1,0,15,1389,0,1,0,0,0,0.0,0,0,0,0,130,3,0,6.852941176,0,0,0,0,0,0,0,0.0,0.0,0,7,0,6,0,6,60.0,19,12,63.15789474,1,10,4,51,58.62068966,98,413,544,957,7,0,1113,4,0
Lucas Digne,Aston Villa,D,28,31.81818182,159,10,19.23076923,283,224,507,80.34865293,28,56.0,22,26,4,57,2,0,5,5,51,8,12,60,2,0,2.71905613,0.6278,11,0,0.0,0,4,17,14,3,0,0,,44,53.65853659,0,0,1,124,12,21,0,18,1572,3,0,0,0,0,0.0,0,0,0,0,248,1,0,6.769230769,0,0,0,0,0,0,0,0.0,0.0,4,5,7,2,5,4,36.36363636,29,22,75.86206897,21,11,88,72,54.54545455,52,356,275,631,12,0,1041,11,3
Tyrone Mings,Aston Villa,D,0,0.0,65,28,42.42424242,206,363,569,89.32496075,31,57.40740741,23,13,0,29,1,1,4,3,62,2,1,33,0,0,0.3772562,1.0745,5,0,0.0,0,0,15,14,1,0,0,,9,47.36842105,0,0,0,68,8,5,0,11,963,0,0,0,0,0,0.0,0,0,0,0,80,0,0,6.730769231,0,0,0,0,0,0,0,0.0,0.0,0,7,0,3,0,2,50.0,4,2,50.0,5,4,3,40,54.79452055,66,253,384,637,7,0,770,5,0
Victor Lindelöf,Aston Villa,D,0,0.0,27,11,64.70588235,85,281,366,94.57364341,8,61.53846154,5,12,1,13,1,0,0,1,24,1,2,9,0,0,0.07365166,0.0312,1,0,0.0,0,1,9,7,2,0,0,,4,50.0,0,0,0,21,4,2,0,6,613,0,0,0,0,0,0.0,0,0,0,0,24,0,0,6.716666667,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0.0,4,1,25.0,2,0,0,12,57.14285714,17,95,292,387,1,0,440,0,0
Ian Maatsen,Aston Villa,D,10,21.73913043,189,23,67.64705882,287,241,528,85.99348534,15,60.0,10,24,0,73,3,1,5,2,51,20,18,79,0,1,1.8640305,1.0711,11,0,0.0,0,0,20,19,1,0,0,,68,49.6350365,0,0,0,86,13,20,0,13,1265,1,0,0,0,0,0.0,0,0,0,0,224,3,0,6.626086957,0,0,0,0,0,0,0,0.0,0.0,0,11,6,8,4,17,45.94594595,36,28,77.77777778,20,37,46,83,51.2345679,34,342,272,614,17,0,1039,15,2
Andrés García,Aston Villa,D,0,0.0,5,0,0.0,14,9,23,100.0,0,0.0,0,4,0,2,0,0,0,0,0,1,1,3,0,0,0.01392235,,0,0,0.0,0,0,2,0,2,0,0,,1,25.0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.0,0,0,0,0,8,0,0,6.45,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,1,100.0,0,1,4,1,25.0,0,14,9,23,0,0,36,0,0
Virgil van Dijk,Liverpool,D,0,0.0,372,126,49.60629921,1000,1086,2086,89.14529915,147,75.77319588,47,31,0,69,0,6,4,9,233,1,1,60,2,1,1.1052885,2.6574,14,0,13.63636364,3,3,42,35,7,3,0,,37,74.0,2,0,0,254,20,11,0,31,2790,1,0,0,0,1,0.0,0,0,0,0,274,1,0,7.261290323,0,0,0,0,0,0,0,930.0,0.0,0,20,2,8,10,2,100.0,20,11,55.0,11,2,1,184,75.40983607,254,1204,1136,2340,22,3,2732,15,4
Ibrahima Konaté,Liverpool,D,1,33.33333333,212,59,48.36065574,673,883,1556,89.47671075,100,71.94244604,39,29,0,92,2,2,3,7,162,5,8,83,0,3,0.90191554,1.0617,30,0,10.0,1,1,34,28,6,1,0,,83,65.35433071,0,0,0,183,23,7,0,29,2487,0,0,0,0,1,0.0,0,0,0,0,215,1,0,7.103448276,0,1,0,0,0,0,0,2487.0,0.0,0,9,1,4,3,5,71.42857143,47,25,53.19148936,7,7,3,183,68.79699248,122,790,949,1739,10,4,2133,32,6
Andrew Robertson,Liverpool,D,10,26.31578947,165,14,35.0,274,165,439,84.09961686,11,47.82608696,12,19,0,31,3,0,4,2,19,0,3,22,1,0,1.01686144,0.3195,4,0,0.0,0,0,11,7,4,0,0,,14,58.33333333,0,0,0,83,7,15,0,6,783,5,0,0,0,0,0.0,0,0,0,0,130,2,0,6.666666667,0,0,0,0,0,0,0,0.0,0.0,0,4,1,0,1,3,50.0,11,8,72.72727273,15,6,38,25,53.19148936,40,332,190,522,5,0,699,0,0
Conor Bradley,Liverpool,D,4,16.66666667,137,10,25.0,251,162,413,83.94308943,15,48.38709677,16,15,1,43,3,0,4,2,29,11,15,75,0,0,0.93808918,0.241,18,0,0.0,0,1,13,9,4,0,0,,46,43.80952381,0,0,1,79,13,4,0,12,932,1,0,0,0,0,0.0,0,0,0,0,150,3,0,6.633333333,0,0,0,0,0,0,0,0.0,0.0,0,4,2,2,0,7,31.81818182,19,15,78.94736842,4,22,24,61,44.85294118,40,310,182,492,6,0,808,20,5
Milo Kerkez,Liverpool,D,13,17.33333333,284,24,33.33333333,491,338,829,85.46391753,32,50.0,32,28,1,78,3,0,1,3,64,6,10,73,1,1,0.65863119,1.5586,19,0,25.0,2,3,31,28,3,2,0,,72,63.71681416,0,0,0,141,13,24,1,25,2044,4,0,0,0,0,0.0,0,0,0,0,281,2,0,6.614285714,0,1,0,0,0,0,0,1022.0,0.0,0,6,2,5,2,11,55.0,40,26,65.0,24,20,75,104,58.75706215,72,591,379,970,8,1,1470,23,4
Joe Gomez,Liverpool,D,2,13.33333333,43,10,47.61904762,93,119,212,80.91603053,9,47.36842105,10,16,2,16,3,0,0,1,21,6,4,31,0,0,0.63065232,0.2293,9,0,0.0,0,2,12,9,3,0,0,,7,25.0,0,0,0,50,9,5,0,6,521,0,0,0,0,0,0.0,0,0,0,0,93,0,0,6.5,0,0,0,0,0,0,0,0.0,0.0,0,3,0,2,1,2,50.0,5,3,60.0,5,4,15,16,34.04255319,21,122,140,262,3,0,396,0,2
Reece James,Chelsea,D,30,24.3902439,295,56,55.44554455,578,554,1132,88.99371069,30,65.2173913,16,27,4,96,8,0,9,4,39,13,10,76,1,3,3.13504645,1.0148,27,1,9.523809524,2,6,20,20,0,1,1,,77,56.20437956,0,0,2,140,32,27,0,20,1896,1,0,0,0,0,0.0,0,0,0,0,285,7,0,7.2,0,2,0,0,0,0,0,948.0,14.28571429,7,4,17,6,6,10,50.0,47,32,68.08510638,27,20,123,107,58.46994536,101,672,600,1272,21,3,1777,20,4
Trevoh Chalobah,Chelsea,D,1,20.0,169,48,41.73913043,571,1396,1967,93.26695116,65,52.84552846,58,29,0,108,1,2,2,9,165,5,9,93,0,1,1.03034358,1.2914,20,0,21.42857143,3,3,31,28,3,3,0,,59,62.76595745,2,0,0,142,34,4,1,29,2552,2,0,0,0,0,0.0,0,0,0,0,168,4,0,6.996551724,1,0,0,0,0,0,0,850.6666667,0.0,0,10,4,7,5,7,77.77777778,35,23,65.71428571,4,9,5,124,57.14285714,115,658,1451,2109,14,3,2486,18,3
Tosin Adarabioyo,Chelsea,D,0,0.0,28,20,44.44444444,190,447,637,90.48295455,38,70.37037037,16,15,0,19,1,0,1,2,65,1,2,23,1,0,0.3998622,0.1073,5,0,0.0,0,0,12,10,2,0,0,,15,68.18181818,0,0,0,67,9,1,0,7,751,1,0,0,0,0,0.0,0,0,0,0,73,0,0,6.957142857,0,0,0,0,0,0,0,0.0,0.0,0,2,0,1,0,0,0.0,15,8,53.33333333,1,0,0,53,69.73684211,45,228,476,704,2,1,818,0,2
Wesley Fofana,Chelsea,D,1,50.0,99,20,44.44444444,329,558,887,92.2037422,61,64.89361702,33,19,1,64,1,0,2,3,101,5,4,65,0,1,0.58867985,0.5968,19,0,0.0,0,1,15,15,0,0,0,,38,54.28571429,0,0,0,75,26,3,0,14,1277,1,0,0,0,0,0.0,0,0,0,0,96,2,0,6.947368421,1,0,0,0,0,0,0,0.0,0.0,0,6,0,4,0,10,71.42857143,16,10,62.5,3,14,2,99,60.36585366,45,374,588,962,6,2,1213,12,4
Marc Cucurella,Chelsea,D,9,34.61538462,272,39,50.0,538,541,1079,88.00978793,34,53.125,30,27,3,90,5,0,6,9,78,6,16,88,0,1,2.95181287,1.7238,35,0,6.25,1,4,23,21,2,1,0,,64,52.45901639,1,0,0,147,23,31,0,24,2080,1,0,0,0,0,0.0,0,0,0,0,207,3,0,6.733333333,1,0,0,0,0,0,0,2080.0,0.0,0,12,4,6,4,1,33.33333333,44,32,72.72727273,31,3,26,98,52.68817204,78,636,590,1226,16,2,1678,20,5
Malo Gusto,Chelsea,D,5,13.15789474,246,29,50.0,451,416,867,86.87374749,11,45.83333333,13,28,3,98,3,1,3,3,29,13,16,66,0,1,1.88576535,1.4572,15,0,18.18181818,2,5,23,21,2,2,0,,66,55.46218487,1,0,0,131,24,18,1,20,1744,1,0,0,0,0,0.0,0,0,0,0,246,9,0,6.685714286,1,0,0,0,0,0,0,872.0,0.0,0,6,5,3,5,10,50.0,43,22,51.1627907,18,20,38,77,53.84615385,58,537,461,998,11,1,1419,13,2
Benoît Badiashile,Chelsea,D,0,0.0,25,19,55.88235294,100,308,408,92.93849658,8,47.05882353,9,8,0,16,0,0,0,0,27,0,1,15,1,1,0.06794814,,6,0,0.0,0,0,10,8,2,0,0,,9,60.0,0,0,0,31,10,0,0,6,471,0,0,0,0,0,0.0,0,0,0,0,35,1,0,6.6625,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,7,4,57.14285714,0,0,0,17,53.125,34,116,323,439,0,0,499,2,2
Josh Acheampong,Chelsea,D,1,100.0,33,4,26.66666667,128,279,407,92.5,10,58.82352941,7,12,0,23,0,0,1,1,19,5,3,20,2,3,0.13243274,0.6039,2,0,33.33333333,1,1,12,12,0,1,0,,24,64.86486486,1,0,0,33,10,2,0,7,587,1,0,0,0,0,0.0,0,0,0,0,51,2,0,6.566666667,0,0,0,0,0,0,0,587.0,0.0,0,3,0,0,2,10,76.92307692,9,6,66.66666667,2,13,1,34,62.96296296,15,144,296,440,3,1,539,5,1
Jorrel Hato,Chelsea,D,4,57.14285714,64,4,23.52941176,153,225,378,90.64748201,12,54.54545455,10,16,0,27,1,0,0,0,24,3,8,36,0,2,0.51275121,0.3071,10,0,0.0,0,0,16,15,1,0,0,,25,49.01960784,0,0,0,39,11,7,0,6,657,0,0,0,0,0,0.0,0,0,0,0,62,2,0,6.53125,0,0,0,0,0,0,0,0.0,0.0,0,3,1,4,0,4,44.44444444,20,11,55.0,7,9,7,37,50.68493151,17,173,244,417,4,0,561,1,4
Mamadou Sarr,Chelsea,D,0,0.0,1,0,0.0,3,42,45,91.83673469,0,0.0,1,2,0,2,0,1,0,0,5,0,0,2,0,0,0.00197374,0.4359,0,0,0.0,0,0,3,3,0,0,0,,1,50.0,0,0,0,4,1,0,0,1,98,0,0,0,0,0,0.0,0,0,0,0,5,0,0,6.15,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,0,0,0.0,1,0,0.0,0,1,0,1,33.33333333,3,5,44,49,1,0,59,0,0
